,Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,Hc,Tc,ER,TS,YS,Elong,HV,Cost
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,,724,8.56,,,,,0.42
1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,,739,11.9,,,,,0.77
2,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,,753,14.13,,,,,1.11
3,97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,,767,15.94,,,,,1.45
4,96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,,780,17.64,,,,,1.79
5,95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,,793,18.7,,,,,2.13
6,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,,805,19.72,,,,,2.47
7,93,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,817,20.53,,,,,2.81
8,92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31,,828,21.21,,,,,3.15
9,91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,,839,21.96,,,,,3.48
10,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,,849,22.64,,,,,3.82
11,89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,,859,23.2,,,,,4.16
12,88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,,868,23.82,,,,,4.5
13,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,,877,24.33,,,,,4.83
14,86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,,885,24.68,,,,,5.17
15,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,,893,24.87,,,,,5.51
16,84,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,,901,24.91,,,,,5.84
17,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,908,24.81,,,,,6.18
18,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,914,24.64,,,,,6.51
19,81,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,921,24.33,,,,,6.85
20,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,,927,23.89,,,,,7.18
21,79,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,,932,23.41,,,,,7.52
22,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,,937,22.76,,,,,7.85
23,77,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,,942,22.06,,,,,8.18
24,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,947,21.34,,,,,8.52
25,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,,951,20.53,,,,,8.85
26,74,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,954,19.59,,,,,9.18
27,73,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,958,18.67,,,,,9.51
28,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,,961,17.82,,,,,9.84
29,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,963,16.85,,,,,10.18
30,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,966,15.94,,,,,10.51
31,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,968,15.04,,,,,10.84
32,68,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,970,14.04,,,,,11.17
33,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,,971,13.24,,,,,11.5
