Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Type,PrcntRedArea,AnnTemp,AnnTime,AnnAtm,AnnCoolRate,AppMagField,ReannTemp,ReannTime,ReannTime,ReannCoolRate,AppMagField,Phase,GrainSize,Ms,Hc,Tc,MuMax,ER,TS,YS,Elong,HV,Cost
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.23,,724,6986,8.56,,,,,0.42
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.24,,739,5476,11.9,,,,,0.77
98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.25,,753,4458,14.13,,,,,1.11
97,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.26,,767,3778,15.94,,,,,1.45
96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.27,,780,3380,17.64,,,,,1.79
95,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.28,,793,3070,18.7,,,,,2.13
94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.29,,805,2843,19.72,,,,,2.47
93,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.3,,817,2687,20.53,,,,,2.81
92,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.31,,828,2523,21.21,,,,,3.15
91,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.32,,839,2379,21.96,,,,,3.48
90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.33,,849,2264,22.64,,,,,3.82
89,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.34,,859,2151,23.2,,,,,4.16
88,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.35,,868,2064,23.82,,,,,4.5
87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.36,,877,1971,24.33,,,,,4.83
86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.37,,885,1883,24.68,,,,,5.17
